憎,(TĂNG - ghét)
贈,(TẶNG - tặng quà)
層,(TẦNG - tầng lớp)
僧,(TĂNG - tăng lữ)
祭,(TẾ - lễ hội)
璧,(BÍCH - ngọc bích)
癖,(PHÍCH - thói quen)
曽,(TĂNG - cháu chắt)
増,(TĂNG - tăng giá)
避,(TỊ - tị nạn)
壁,(BÍCH - bức tường)
際,(TẾ - quốc tế)
察,(SÁT - cảnh sát)
擦,(SÁT - ma sát)
猶,(DO - do dự)
隔,(CÁCH - khoảng cách)
融,(DUNG - dung môi)
商,(THƯƠNG - thương phẩm)
奏,(TẤU - diễn tấu)
換,(HOÁN - hoán đổi)
喚,(HOÁN - hô hoán)
尊,(TÔN - tôn kính)
遵,(TUÂN - tuân lệnh)
春,(XUÂN - mùa xuân)
微,(VI - nhỏ bé)
泰,(THÁI - thái bình)
奉,(PHỤNG - phụng mệnh)
赤,(XÍCH - màu đỏ)
棒,(BỔNG - cái gậy)
俸,(BỔNG - bổng lộc)
衣,(Y - y phục)
徴,(TRƯNG - đặc trưng)
懲,(TRỪNG - trừng phạt)
赦,(XÁ - xá tội)
嚇,(HÁCH - dọa nạt)
湾,(LOAN - vịnh)
跡,(TÍCH - dấu tích)
依,(Y - ỷ lại)
表,(BIỂU - phát biểu)
蛮,(MAN - man rợ)
俵,(BIỂU, BIỂU - cho tặng)
衷,(TRUNG - trung thực)
衰,(SUY - suy nhược)
恋,(LUYẾN - luyến ái)
変,(BIẾN - biến đổi)
畏,(ÚY - sợ)
喪,(TANG - lễ tang)
哀,(AI - bi ai)
慈,(TỪ - nhân từ)
磁,(TỪ - từ trường)
滋,(TỪ - phồn thịnh)
幽,(U - âm u)
率,(SUẤT - tỷ suất)
機,(CƠ - cơ khí, máy móc)
畿,(KÌ - kinh kì)
幺,(YÊU - nhỏ)
幻,(ẢO - ảo tưởng)
幼,(ẤU - thơ ấu)
幾,(KÌ - bao nhiêu)
掲,(YẾT - niêm yết)
謁,(YẾT - yết kiến)
喝,(HÁT - quát mắng)
旦,(ĐÁN - mồng 1 tết)
但,(ĐÁN - tuy nhiên)
垣,(VIÊN - hàng rào)
褐,(HẠT - sắc nâu)
担,(ĐẢM - đảm đương)
胆,(ĐẢM - can đảm)
幽,(U - ám u)
壇,(ĐÀN - bàn thờ)
定,(ĐỊNH - cố định)
錠,(ĐĨNH - cái khóa)
綻,(TRÁN - đường khâu)
婿,(TẾ - chú rể)
